"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total","Aus Gov","Aust"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other psychologist services","Rate per 1000 people","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","rate","115.7","141.7","129.9","84.4","73.8","83.1","100.9","34.3","","","117.3"
"13A.10","2017-18","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other allied health services","Rate per 1000 people","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","rate","13.0","23.6","16.6","12.8","22.2","10.5","7.0","3.2","","","16.8"
"13A.10","2016-17","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Initial consultations new patient","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","47630","36865","30287","11979","7554","2988","1402","323","","","139050"
"13A.10","2016-17","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Patient attendances","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","593899","628571","476824","146666","148799","41602","16587","3329","","","2056276"
"13A.10","2016-17","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Group psychotherapy","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","23527","10684","2249","481","324","2048","313","44","","","39671"
"13A.10","2016-17","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Interview with non-patient","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","24617","15031","19773","1453","3577","741","433","71","","","65696"
"13A.10","2016-17","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Case conferencing","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","3994","3420","1941","71","255","31","np","np","","","9834"
"13A.10","2016-17","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Telepsychiatry","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","18259","5700","15750","1238","2699","2655","211","695","","","47207"
"13A.10","2016-17","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Electroconvulsive therapy","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","7480","8623","8653","4391","2495","615","339","113","","","32708"
"13A.10","2016-17","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Assessment and treatment of pervasive developmental disorder","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","59","50","196","np","29","0","np","0","","","346"
"13A.10","2016-17","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Psychiatrist services","Total psychiatrist services","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","719465","708945","555673","166302","165733","50680","19402","4588","","","2390788"
"13A.10","2016-17","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","GP mental health care","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","1080484","958529","699007","297981","211056","56871","45977","15968","","","3365874"
"13A.10","2016-17","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","Focussed psychological strategies","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","11553","10115","6916","1324","1542","460","401","109","","","32419"
"13A.10","2016-17","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","Family group therapy","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","5123","3637","1528","56","506","69","96","8","","","11023"
"13A.10","2016-17","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","Electroconvulsive therapy","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","9424","9919","9436","4513","2562","607","385","109","","","36955"
"13A.10","2016-17","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","GP mental health specific services","Total GP mental health specific services","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","1106583","982200","716887","303874","215665","58007","46859","16194","","","3446271"
"13A.10","2016-17","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Clinical psychologist services","Total clinical psychologist services","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","625983","602225","398347","232191","194241","63806","41130","4729","","","2162652"
"13A.10","2016-17","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other psychologist services","Focussed psychological strategies - psychologists","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","865074","844076","598799","182696","122785","44269","37644","8493","","","2703836"
"13A.10","2016-17","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other psychologist services","Enhanced primary care - psychologists","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","9801","9054","5994","1515","1105","516","307","99","","","28390"
"13A.10","2016-17","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other psychologist services","Assessment and treatment of pervasive developmental disorder","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","2928","7790","2245","1073","np","np","134","42","","","14903"
"13A.10","2016-17","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other psychologist services","Total other psychologist services","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","878248","861037","607801","185314","124501","44883","38097","8668","","","2748548"
"13A.10","2016-17","MBS subsidised mental health services","All ages","All people","All people","All areas","","MBS subsidised mental health services","Other allied health services","Focussed psychological strategies - occupational therapist","","","","","AIHW (unpublished) Medicare Benefits Schedule data (AIHW analyses)","no.","25361","18362","11848","6302","5568","np","383","np","","","69322"
